,fluxes
EX_meoh_e,0.0
EX_ac_e,0.0
EX_succ_e,0.0
EX_lac__D_e,-0.0
EX_glyc_e,0.001314138320127293
EX_mg2_e,-0.023779544860496934
EX_ca2_e,-0.0033970899490877657
EX_h2_e,0.0
EX_cobalt2_e,-0.0003397089949087766
EX_cu2_e,-0.0033970899490877657
EX_fe2_e,-0.0020790092140000912
SK_amp_c,-0.0840551950162603
SK_CPC161161_c,-0.0012717467614135093
SK_cys__L_c,-0.015406067442439391
SK_datp_c,-0.00627395068963998
SK_sql_c,-0.005680468867647008
SK_dgtp_c,-0.010979413706869964
SK_CPC161140_c,-0.001314138320127293
SK_udcpp_c,-0.01801641245335805
SK_thr__L_c,-0.13287210163248345
SK_CPC160161_c,-0.0012717467614135093
SK_ile__L_c,-0.1308288285024791
SK_his__L_c,-0.04497320463945307
SK_leu__L_c,-0.13287210163248345
SK_dctp_c,-0.017253364396509943
SK_nad_c,-0.0020382370128513294
SK_met__L_c,-0.061398365153371826
