,fluxes
R04037,0.006582605025577728
R04035,0.006582605025577728
R04001,-0.01944812630047208
R03971,0.0
R03970,0.0
R03968,0.01944812630047208
R03948,0.0
R03947,0.0
R03916,0.0
R03898,0.0
R03896,0.0
R03816,0.0
R03689,0.0
R03599,0.0
R03596,0.0
R03562,0.0
R03542,0.0
R03531,0.0
R03530,0.0
R03509,0.005385587246772511
R03508,0.005385587246772511
R03504,0.0
R03503,0.0
R03472,0.0
R03471,0.0
R03464,0.0
R03460,0.030517872717695866
R03459,3.2816851711076075e-05
R03458,3.2816851711076075e-05
R03457,0.006582605025577728
R03443,0.0
R03424,0.0
R03409,0.0
R03390,0.0
R03351,0.00019855157019369151
R03350,0.00019855157019369151
R03348,0.0002983311799001155
R03346,0.0
R03321,0.0009927578509684575
R03313,0.029695869217093985
R03293,0.0
R03291,0.0
R03269,1.5911178266942746e-05
R03254,0.00019855157019369151
R03243,-0.006582605025577728
R03239,0.0
R03238,-0.013886200440421308
R03237,-0.042654860877362186
R03236,0.05654106131778349
R03231,0.0
R03223,0.0
R03220,0.0
R03210,0.0
R03199,0.00032885103813330154
R03197,0.0
R03194,0.0
R03193,0.0026370130416349656
R03192,0.0
R03191,0.0026370130416349656
R03182,0.0
R03165,0.0
R03140,0.0
R03132,0.0
R03105,0.0
R03093,0.0
R03084,0.030517872717695866
R03083,0.030517872717695866
R03067,0.0
R03066,0.0
R03051,0.044971089038402974
R03035,1.5911178266942746e-05
R03024,0.0
R03018,1.5911178266942746e-05
R03015,0.7018888660092155
R03013,0.006582605025577728
R03012,0.006582605025577728
R03005,0.0
R02999,0.0
R02985,0.0
R02971,0.0
R02964,0.0
R02948,0.0
R02922,0.0
R02874,0.00032885103813330154
R02872,0.0011602857383193848
R02869,0.0
R02864,0.0
R02788,0.0026370130416349656
R02783,0.0026370130416349656
R02777,0.0
R02740,-0.0009927578509684575
R02739,0.0
R02736,0.0
R02735,0.02133684811193957
R02734,0.02133684811193957
R02722,0.005385587246772511
R02720,0.0
R02719,0.0
R02649,0.0
R02619,0.0
R02568,0.0
R02558,0.0
R02550,0.0
R02539,0.0
R02530,0.0
R02484,0.0
R02473,1.5911178266942746e-05
R02472,-1.5911178266942746e-05
R02433,0.0
R02421,0.00581756100667516
R02413,-0.030517872717695866
