Kegg_ID	ModelSeed_ID	formula	charge
C11448	cpd08297	C32H39N8O20P3S	-4
C00688	cpd08300	C16H22N2O15P2	-2
C11453	cpd08301	C5H10O9P2	-2
C11455	cpd08302	C29H46O	0
C11456	cpd08303	C9H11O4	-1
C11457	cpd08304	C9H9O3	-1
C11458	cpd08305	C8H16NO	1
C11459	cpd08306	C8H18NO	1
C11460	cpd08307	C17H24N2O15P2	-2
C11461	cpd08308	C17H28N3O14P2	-1
C11462	cpd08309	C19H23N6O10P	0
C11465	cpd08310	C7H6NO4	-1
C11466	cpd08311	C8H8NO4	-1
C11467	cpd08312	C11H10NO6	-1
C11468	cpd08313	C11H8NO5	-1
C11469	cpd08314	C55H75IN3O21S4	1
C11471	cpd08315	C30H18NO9	-1
C11472	cpd08316	C7H12O13P2	-4
C11473	cpd08317	C5H12NS3	1
C11474	cpd08318	C5H12NS2	1
C11483	cpd08322	C19H24N3O2	1
C11484	cpd08323	C17H20N3O2	1
C11485	cpd08324	C15H16N2O	0
C11486	cpd08325	C17H18N2O2	0
C11487	cpd08326	C10H13NO	0
C11488	cpd08327	C3H7NO2	0
C11489	cpd08328	C2H5NO	0
C11490	cpd08329	C7H11N2O4S	-1
C11491	cpd08330	C13H11O3	-1
C11492	cpd08331	C14H14O3	0
C11493	cpd08332	C13H9Cl2F3N3O3	-1
C11494	cpd08333	C16H20N2O3	0
C11495	cpd08334	C16H20N2O3	0
C11496	cpd08335	C5H11O4S2	-1
C11497	cpd08336	C5H9O4S2	-1
C11498	cpd08337	C5H11O4S2	-1
C11499	cpd08338	C3H4O6S	-2
C11500	cpd08339	C10H11N5O4	0
C11501	cpd08340	C10H10N5O5	-1
G11175	cpd08341	C34H58N4O24S2	0
C11502	cpd08341	C34H58N4O24S2	0
C11505	cpd08344	C3H6	0
C11506	cpd08345	C3H6O	0
C11507	cpd08346	C3H6O	0
C11508	cpd08347	C29H46O	0
C11509	cpd08348	C29H48O2	0
C11510	cpd08349	C7H5Cl3O	0
C11511	cpd08350	C4H6NO5	-1
C11512	cpd08351	C13H20O3	0
C11513	cpd08352	C31H52O	0
C11514	cpd08353	C7H6O6	-2
C11515	cpd08354	C7H6O6	-2
C11516	cpd08355	C9H14O12P	-3
C11519	cpd08356	C7H13NO	0
C11520	cpd08357	C7H12N	1
C11521	cpd08358	C15H21N2O19P2S	-3
C11522	cpd08359	C29H48O	0
C11523	cpd08360	C30H50O	0
C11526	cpd08361	C6H7O27P7	-12
C18057	cpd08361	C6H7O27P7	-12
C11527	cpd08362	C8H7O4	-1
C11529	cpd08363	C3H4N2O3R	-1
C11531	cpd08364	C11H19O10R	0
C11535	cpd08365	C11H20O10	0
C11536	cpd08366	C3H3O9PS	-4
C11537	cpd08367	C3H4O6S	-2
C11538	cpd08368	C42H36CoN4O16	-8
C11539	cpd08369	C43H41CoN4O16	-7
C11540	cpd08370	C44H43CoN4O16	-7
C11541	cpd08371	C45H46CoN4O16	-6
C11542	cpd08372	C44H45CoN4O16	-7
C11543	cpd08373	C44H48CoN4O16	-6
C11544	cpd08374	C9H15O9	-1
C11545	cpd08375	C45H53CoN4O14	-5
C11546	cpd08376	C9H18O8	0
C11555	cpd08377	C6H8O18P4	-8
C11560	cpd08378	C20H21N3O	0
C11561	cpd08379	C22H19ClN4O2	0
C11562	cpd08380	C19H18ClN5O	0
C11563	cpd08381	C25H21N3O2	0
C11564	cpd08382	C22H18N2O4	0
C11565	cpd08383	C18H15N3	0
C11566	cpd08384	C16H13ClN2O2	0
C11567	cpd08385	C18H19N3S2	0
C11568	cpd08386	C22H17N3O2	0
C11569	cpd08387	C20H15N3O2	0
C11570	cpd08388	C13H9ClN2OS	0
C11571	cpd08389	C16H16N2S	0
C11573	cpd08390	C25H25O4	-1
C11574	cpd08391	C25H25O4	-1
C11575	cpd08392	C25H25O4	-1
C11576	cpd08393	C20H17O5	-1
C11577	cpd08394	C16H11O5	-1
C11578	cpd08395	C21H19O5	-1
C11579	cpd08396	C21H19O5	-1
C11580	cpd08397	C21H19O6	-1
C11581	cpd08398	C20H17O5	-1
C11582	cpd08399	C6H7Cl2N2	-1
C11583	cpd08400	C17H29Cl2N5O8PS	-1
C11584	cpd08401	C16H15O9	-1
C11585	cpd08402	C10H7O6S	-1
C11586	cpd08403	C16H15O7	-1
C11587	cpd08404	C31H41N6O7	-1
C11588	cpd08405	C9H11O4	-1
C11589	cpd08406	C32H37N6O7S	-1
C11590	cpd08407	C45H57N3O9	0
C11591	cpd08408	C16H8N2O6S4	-2
C11592	cpd08409	C6H10O5	0
C11593	cpd08410	C16H17N3OS	0
C11594	cpd08411	C16H16N3O4S2	-1
C11595	cpd08412	C22H24N3O7S	-1
C11596	cpd08413	C21H30N3O5S	-1
C11597	cpd08414	C25H30FN3O9	0
C11598	cpd08415	H3ClNO	-1
C11599	cpd08416	C28H18IN5O5	0
C11600	cpd08417	C26H28IN6O3	1
C11601	cpd08418	C21H23ClN2O4S	0
C11602	cpd08419	C25H32N6O2	2
C11603	cpd08420	C23H33ClN5O8S	-1
C11604	cpd08421	C23H45N6O5	1
C11605	cpd08422	C11H10N3O7S	-1
C11606	cpd08423	C32H47N8O5	1
C11607	cpd08424	C41H69N7O8	0
C11608	cpd08425	C26H29O9	-1
C11609	cpd08426	C40H67O11	-1
C11610	cpd08427	C33H60N5O9	-1
C11615	cpd08429	C45H54N8O10	0
C11616	cpd08430	C44H52N8O10	0
C11617	cpd08431	C44H52N8O10	0
C11618	cpd08432	C22H30Cl2N7O5	-1
C11619	cpd08433	C14H25Cl2N2O7	-1
C11620	cpd08434	C17H13O8	-1
