pw_ID	pw_name	KO	EC	Reaction
map01100	Metabolic pathways	['K19967']	[' 4.1.2.42']	['R08195']
map01100	Metabolic pathways	['K23992', 'K23992', 'K07281']	[' 2.7.7.74']	['R09669']
map01100	Metabolic pathways	['K07141']	[' 2.7.7.76']	['R11582']
map01100	Metabolic pathways	['K15631']	[' 2.8.1.9']	['R11583']
map01100	Metabolic pathways	['K21672', 'K10793', 'K10794']	[' 1.4.1.12', ' 1.21.4.1']	['R02825']
map01100	Metabolic pathways	['K25315']	[]	['R12824']
map01100	Metabolic pathways	['K25315']	[]	['R12825']
map01100	Metabolic pathways	['K20498', 'K01753']	[' 4.3.1.18']	['R00221']
map01100	Metabolic pathways	['K03271']	[' 5.3.1.28']	['R09769']
map01100	Metabolic pathways	['K03271']	[' 5.3.1.28']	['R05645']
map01100	Metabolic pathways	['K01780']	[' 5.1.1.24']	['R12313']
map01100	Metabolic pathways	['K23120']	[' 2.5.1.152']	['R12341']
map01100	Metabolic pathways	['K23122']	[' 1.5.1.52']	['R12237']
map01100	Metabolic pathways	['K01764']	[' 4.4.1.17']	['R02480']
map01100	Metabolic pathways	['K16651']	[' 2.7.1.177']	['R06531']
map01100	Metabolic pathways	['K04720']	[' 4.1.1.81']	['R06530']
map01100	Metabolic pathways	['K02225', 'K02227']	[' 6.3.1.10']	['R06529']
map01100	Metabolic pathways	['K11155', 'K11156', 'K00678', 'K11157']	[' 2.3.1.76', ' 2.3.1.135']	['R02366', 'R02367', 'R02368', 'R08387']
map01100	Metabolic pathways	['K11158']	[' 3.1.1.64']	['R08388']
map01100	Metabolic pathways	['K11155', 'K11156', 'K00678']	[' 2.3.1.76', ' 2.3.1.135']	['R08381', 'R08389']
map01100	Metabolic pathways	['K00157', 'K07249']	[' 1.2.3.1', ' 1.2.1.36']	['R08384', 'R08385']
map01100	Metabolic pathways	['K11147', 'K11148', 'K00061', 'K11152', 'K11153']	[]	['R08382', 'R08383']
map01100	Metabolic pathways	['K22102']	['K22102 (E4.1.2.59)', ' 4.1.2.59']	['R11718']
map01100	Metabolic pathways	['K00867', 'K03525', 'K09680', 'K01947']	[' 2.7.1.33']	['R02971']
map01100	Metabolic pathways	['K08069']	[' 3.5.1.92']	['R02973']
map01100	Metabolic pathways	['K00997', 'K06133']	[' 2.7.8.7']	['R01625']
map01100	Metabolic pathways	['K08682']	[' 3.1.4.14']	['R01623']
map01100	Metabolic pathways	['K03742', 'K03743']	[' 3.5.1.42']	['R02322']
map01100	Metabolic pathways	['K10811']	['K10811 (E2.5.1.2)', ' 2.5.1.2']	['R02863']
map01100	Metabolic pathways	['K01000']	[' 2.7.8.13']	['R05630']
map01100	Metabolic pathways	['K07031']	[' 2.7.1.168']	['R09770']
map01100	Metabolic pathways	['K03273']	[' 3.1.3.83']	['R09771']
map01100	Metabolic pathways	['K15669']	[' 2.7.7.71']	['R09772']
map01100	Metabolic pathways	['K00743']	[' 2.4.1.87']	['R05978']
map01100	Metabolic pathways	['K00718']	[' 2.4.1.69']	['R06027']
map01100	Metabolic pathways	['K00743']	[' 2.4.1.87']	['R06169']
map01100	Metabolic pathways	['K00718']	[' 2.4.1.69']	['R06170']
map01100	Metabolic pathways	['K07252']	[' 3.6.1.43']	['R01004']
map01100	Metabolic pathways	['K12345']	[' 1.3.1.94']	['R12299']
map01100	Metabolic pathways	['K19743', 'K19742']	[' 1.5.1.1', ' 1.5.1.49']	['R01246', 'R01249']
map01100	Metabolic pathways	['K18384', 'K22548']	[' 4.2.1.77']	['R04374']
map01100	Metabolic pathways	['K00273', 'K17851']	[' 1.4.3.3', ' 1.5.99.13']	['R02894', 'R09496']
map01100	Metabolic pathways	['K23233', 'K24954', 'K24955']	[' 1.5.1.11']	['R00562', 'R12707']
map01100	Metabolic pathways	['K00296', 'K24952', 'K24953']	[' 1.5.1.19']	['R00563', 'R12706']
map01100	Metabolic pathways	['K08968']	[' 1.8.4.14']	['R02025']
map01100	Metabolic pathways	['K04715', 'K01080', 'K04716', 'K04717']	[' 2.7.1.138', ' 3.1.3.4']	['R01495', 'R06522']
map01100	Metabolic pathways	['K01123']	[' 3.1.4.41']	['R02542']
map01100	Metabolic pathways	['K18575']	[' 3.3.2.2']	['R03415']
map01100	Metabolic pathways	['K08743']	[]	['R07380']
map01100	Metabolic pathways	['K01122', 'K22387']	[' 3.1.4.39']	['R07388']
map01100	Metabolic pathways	['K01115', 'K16860', 'K17717']	[' 3.1.4.4']	['R07385']
map01100	Metabolic pathways	['K21362']	[' 2.4.1.184']	['R04472']
map01100	Metabolic pathways	['K20024']	[' 5.1.3.34']	['R11080']
map01100	Metabolic pathways	['K14458', 'K14457']	[' 2.3.1.22']	['R03755', 'R03756']
map01100	Metabolic pathways	['K05295', 'K00212']	['K05295 (E1.1.1.149)', ' 1.1.1.149']	['R02207', 'R02209']
map01100	Metabolic pathways	['K01016']	[' 2.8.2.4']	['R02350']
map01100	Metabolic pathways	['K12343', 'K12344', 'K12345']	[' 1.3.1.22']	['R10242']
map01100	Metabolic pathways	['K00037']	[' 1.1.1.50']	['R02476', 'R02477']
map01100	Metabolic pathways	['K00699']	[' 2.4.1.17']	['R02478']
map01100	Metabolic pathways	['K01015', 'K01131']	[' 2.8.2.2', ' 3.1.6.2']	['R03404', 'R03405']
map01100	Metabolic pathways	['K09001']	[' 2.7.1.170']	['R12755']
map01100	Metabolic pathways	['K00972']	[' 2.7.7.83']	['R10183']
map01100	Metabolic pathways	['K18674']	[' 2.7.1.157']	['R08967']
map01100	Metabolic pathways	['K21279', 'K05304']	['K21279 (E2.5.1.132)', ' 2.5.1.132']	['R11439']
map01100	Metabolic pathways	['K21055']	['K21055 (E3.1.3.103)', ' 3.1.3.103']	['R11440']
map01100	Metabolic pathways	['K21750', 'K21749']	['K21750 (E2.7.7.92)', ' 2.7.7.92']	['R11441']
map01100	Metabolic pathways	['K13382']	[' 4.2.1.78']	['R04305']
map01100	Metabolic pathways	['K13382']	[' 4.2.1.78']	['R04305']
map01100	Metabolic pathways	['K01131', 'K01015']	[' 2.8.2.2', ' 3.1.6.2']	['R08942', 'R08978']
map01100	Metabolic pathways	['K01131', 'K01015']	[' 2.8.2.2', ' 3.1.6.2']	['R08941', 'R08977']
map01100	Metabolic pathways	['K11533', 'K00647', 'K09458']	[' 2.3.1.41', ' 2.3.1.179']	['R07762']
map01100	Metabolic pathways	['K11533', 'K00647', 'K09458']	[' 2.3.1.41', ' 2.3.1.179']	['R07762']
map01100	Metabolic pathways	['K14534']	[' 4.2.1.120']	['R10782']
map01100	Metabolic pathways	['K00132', 'K04072', 'K04073', 'K18366']	['K00132 (E1.2.1.10)', ' 1.2.1.57', ' 1.2.1.10']	['R01172', 'R01173']
map01100	Metabolic pathways	['K03821', 'K22881']	[' 2.3.1.304']	['R04254']
map01100	Metabolic pathways	['K01034', 'K01035', 'K19709', 'K23756', 'K01896', 'K01913']	[' 2.8.3.8', ' 6.2.1.2']	['R01176', 'R01179']
map01100	Metabolic pathways	['K00634']	[' 2.3.1.19']	['R01174']
map01100	Metabolic pathways	['K11533', 'K00208', 'K02371']	[' 1.3.1.9']	['R07765']
map01100	Metabolic pathways	['K11533', 'K02372']	[' 4.2.1.59']	['R07764']
map01100	Metabolic pathways	['K11533', 'K00059']	[' 1.1.1.100']	['R07763']
map01100	Metabolic pathways	['K03921', 'K03922']	[' 1.14.19.2']	['R08161']
map01100	Metabolic pathways	['K23992', 'K23992', 'K07291']	[' 2.7.8.34']	['R09670']
map01100	Metabolic pathways	['K22214']	[' 2.8.3.27']	['R11773']
map01100	Metabolic pathways	['K01432', 'K14263', 'K07130', 'K01433', 'K01455', 'K25305', 'K03418', 'K01458']	[' K01455 (E3.5.1.49)', ' 3.5.1.9', ' 3.5.1.10', ' 3.5.1.49', ' 3.5.1.56', ' 3.5.1.68']	['R00524', 'R00525', 'R00944', 'R01959', 'R02509']
map01100	Metabolic pathways	['K01203', 'K01182']	[' 3.2.1.10']	['R01718']
map01100	Metabolic pathways	['K05988']	[' 3.2.1.11']	['R11309']
map01100	Metabolic pathways	['K01683']	[' 4.2.1.5']	['R03032']
map01100	Metabolic pathways	['K19590', 'K00062', 'K00063']	[' 1.1.1.116', ' 1.1.1.117', ' 1.1.1.427']	['R01574', 'R01575']
map01100	Metabolic pathways	['K00107']	[' 1.1.3.37']	['R02715']
map01100	Metabolic pathways	['K22345']	['K22345 (E4.3.1.9)', ' 4.3.1.9']	['R01544']
map01100	Metabolic pathways	['K13397']	[' 2.1.1.117']	['R03835']
map01100	Metabolic pathways	['K13395']	[' 1.14.19.68']	['R04400']
map01100	Metabolic pathways	['K13396']	['K13396 (E2.1.1.122)', ' 2.1.1.122']	['R08789']
map01100	Metabolic pathways	['K20621']	[' 1.14.14.166']	['R11687']
map01100	Metabolic pathways	['K22094']	[' 1.14.14.163']	['R11688']
map01100	Metabolic pathways	['K22095']	[' 2.3.1.285']	['R11689']
map01100	Metabolic pathways	['K22096']	[' 1.14.14.167']	['R11690']
map01100	Metabolic pathways	['K23157', 'K23158']	[' 2.1.1.352']	['R11692']
map01100	Metabolic pathways	['K22097']	[' 3.1.1.105']	['R11693']
map01100	Metabolic pathways	['K22098']	[' 1.1.1.415']	['R10020']
map01100	Metabolic pathways	['K22089']	[' 1.5.3.12', ' 1.3.3.8']	['R04703']
map01100	Metabolic pathways	['K14976']	[' 1.14.11.31']	['R05126']
map01100	Metabolic pathways	['K14975']	[' 1.14.11.32']	['R05127']
map01100	Metabolic pathways	['K14976']	[' 1.14.11.31']	['R03698']
map01100	Metabolic pathways	['K13394', 'K03378']	[' 1.1.1.218', ' 1.1.1.247']	['R03591', 'R03592']
map01100	Metabolic pathways	['K00274', 'K00276', 'K13371', 'K13372', 'K25271', 'K25272']	[' 1.4.3.4', ' 1.4.3.21', ' 1.4.9.2']	['R02382']
map01100	Metabolic pathways	['K25261', 'K25262']	[' 4.4.1.38']	['R12763']
map01100	Metabolic pathways	['K25260']	[' 4.2.1.176']	['R12761']
