KO	Modelseed_reaction
K07558	rxn16223	
K20512	rxn16708
K07508	rxn03128	
K07508	rxn05831	
K07508	rxn19979	
K07508	rxn19980	
K07508	rxn19982	
K07508	rxn19986	
K07508	rxn19988
K07508	rxn19989	
K07508	rxn33120	
K07509	rxn03128	
K07509	rxn05831	
K07509	rxn19979	
K07509	rxn19980	
K07509	rxn19982	
K07509	rxn19986	
K07509	rxn19988
K07509	rxn19989	
K07509	rxn33120	
K21802	rxn03969
K07517	rxn03254
K07516	rxn03617	
K07516	rxn27455
K07516	rxn34734	
K07516	rxn34735	
K07516	rxn34736	
K07516	rxn34737	
K07516	rxn34738	
K07516	rxn34739	
K07518	rxn00038
K07511	rxn02949	
K07511	rxn06216	
K07511	rxn32064	
K07511	rxn32636
K07511	rxn34630	
K07511	rxn34728	
K07511	rxn34729	
K07511	rxn34730	
K07511	rxn34731	
K07511	rxn34732	
K07511	rxn34733	
K07511	rxn35541	
K07511	rxn37816	
K07511	rxn37861	
K07513	rxn03128	
K07513	rxn07681	
K07513	rxn07685	
K07513	rxn07689	
K07513	rxn07727
K07513	rxn07743	
K07513	rxn19979	
K07513	rxn19980	
K07513	rxn19982	
K07513	rxn19986	
K07513	rxn19988	
K07513	rxn19989	
K07513	rxn33120	
K07512	rxn07194
K07512	rxn32093	
K07512	rxn32210	
K07512	rxn32850	
K07512	rxn33082	
K07512	rxn33327	
K07512	rxn38811	
K07515	rxn02949	
K07515	rxn06037	
K07515	rxn06216
K07515	rxn07725	
K07515	rxn07726	
K07515	rxn07741	
K07515	rxn07742	
K07515	rxn32064	
K07515	rxn32636	
K07515	rxn34630	
K07515	rxn34728	
K07515	rxn34729	
K07515	rxn34730	
K07515	rxn34731	
K07515	rxn34732	
K07515	rxn34733	
K07515	rxn34734	
K07515	rxn34735	
K07515	rxn34736	
K07515	rxn34737	
K07515	rxn34738	
K07515	rxn34739	
K07515	rxn35541	
K07515	rxn37816	
K07515	rxn37861	
K07514	rxn02949	
K07514	rxn03254	
K07514	rxn27455	
K07514	rxn32064	
K07514	rxn32636	
K07514	rxn34630	
K07514	rxn34728	
K07514	rxn34729	
K07514	rxn34730	
K07514	rxn34731	
K07514	rxn34732	
K07514	rxn34733
K07514	rxn34734	
K07514	rxn34735	
K07514	rxn34736	
K07514	rxn34737	
K07514	rxn34738	
K07514	rxn34739	
K07514	rxn35541	
K07514	rxn35544	
K07514	rxn35545	
K07514	rxn37809	
K07514	rxn37816	
K07514	rxn37861	
K18288	rxn01734
K18289	rxn01734
K18289	rxn02258	
K18291	rxn01805
K18292	rxn00177
K18293	rxn03578
K18290	rxn01805
K18275	rxn03915
K18276	rxn16314
K18277	rxn03899
K18282	rxn00115
K18283	rxn35432	
K18283	rxn35440
K18284	rxn00143	
K18284	rxn30734
K18248	rxn00594	
K18248	rxn00595
K18249	rxn00594	
K18249	rxn00595
K18251	rxn16089
K18252	rxn16089
K20561	rxn16419
K18253	rxn16089
K18254	rxn16089
K21896	rxn17441
K20565	rxn15850
K20565	rxn15856	
K21895	rxn04114
K07587	rxn14309
K20568	rxn15851
K20569	rxn15865
K20566	rxn15850
K21898	rxn00472
K20567	rxn15851	
K20567	rxn15857
K18255	rxn16090
K18256	rxn01195
K18257	rxn02899
K19588	rxn00196
K20571	rxn04447
K20572	rxn04439
K20570	rxn15865
K20577	rxn15850
K06282	rxn07824
K06281	rxn07824
K18227	rxn03561
K19560	rxn16573
K19561	rxn16573
K19562	rxn27779	
K19562	rxn27785
K20547	rxn06152	
K20547	rxn15160
K18240	rxn00966
K19571	rxn04176
K19571	rxn04177	
K19571	rxn04178	
K19571	rxn24021	
K19572	rxn31942
K18242	rxn07523	
K18242	rxn07524
K18243	rxn07523	
K18243	rxn07524
K21888	rxn31674
K21888	rxn33425	
K19709	rxn00875	
K19709	rxn00990
K19709	rxn07623	
K19652	rxn02002
K19658	rxn16544
K19659	rxn16544
K19660	rxn15237
K21977	rxn09177
K20658	rxn04330	
K20658	rxn04332
K20659	rxn04327
K18333	rxn14044
K19664	rxn25970
K18334	rxn02617
K18337	rxn02770
K19668	rxn15597
K18338	rxn02675
K19669	rxn11734
K18339	rxn01619
K19670	rxn00228
K20657	rxn18956
K20657	rxn18989	
K20627	rxn02123
K18309	rxn00344
K20625	rxn03681
K20626	rxn02123
K19630	rxn03584
K19632	rxn13999
K19633	rxn05085
K19634	rxn15697
K20623	rxn07302
K20623	rxn24433	
K19642	rxn15697
K19643	rxn01601	
K19643	rxn01602	
K19643	rxn12649	
K19643	rxn14120	
K19643	rxn30104	
K19643	rxn32434
K19644	rxn01601	
K19644	rxn01602	
K19644	rxn12649	
K19644	rxn14120	
K19644	rxn30104	
K19644	rxn32434
K19645	rxn30104
K19645	rxn32434	
K19647	rxn07775
K19628	rxn14013
K19628	rxn14083	
K19629	rxn03583
K20614	rxn22782	
K20614	rxn22783
K21926	rxn37997
K21925	rxn01471	
K21925	rxn16818	
K21925	rxn37997
K21928	rxn04330	
K21928	rxn04332
K21927	rxn07464
K08968	rxn06077
K08969	rxn32249
K08963	rxn03057
K08966	rxn32987
K08967	rxn31519
K08967	rxn32462	
K08964	rxn05104
K08965	rxn05105
K17078	rxn15849
K17078	rxn15855	
K17059	rxn05007
K17057	rxn05007
K17056	rxn16771
K17066	rxn20190
K17069	rxn32343
K17069	rxn33241	
K17068	rxn00435
K17067	rxn00435
K17070	rxn00428
K18365	rxn00540	
K18365	rxn03610
K19696	rxn16511
K18366	rxn09944	
K18366	rxn32711	
K18366	rxn34627
K19697	rxn28091
K19699	rxn04789
K20681	rxn16713
K20682	rxn16662
K20680	rxn16665
K17049	rxn06960
K17048	rxn06960
K18383	rxn04024
K18383	rxn04025	
K18384	rxn03037
K18355	rxn01772
K18356	rxn01772
K18357	rxn01772
K18358	rxn01772
K18359	rxn01772
K18360	rxn04999	
K18360	rxn05047
K18361	rxn04999	
K18361	rxn05047
K18362	rxn04999	
K18362	rxn05047
K18363	rxn04999	
K18363	rxn05047
K18364	rxn01893	
K18364	rxn04095
K20679	rxn16742
K20801	rxn38981
K20802	rxn01296
K19818	rxn15375
K19818	rxn15709	
K20807	rxn02823	
K20807	rxn03875	
K20807	rxn07594
K20807	rxn07644	
K20807	rxn31933	
K19819	rxn15375
K19819	rxn15709	
K20808	rxn05924
K20806	rxn03021
K20809	rxn05924
K19813	rxn15032
K07824	rxn19225
K07823	rxn00598
K19826	rxn02292
K20812	rxn05800	
K20812	rxn31314
K19820	rxn15375
K19820	rxn15709	
K07816	rxn33193
K20811	rxn20033
K19801	rxn06365
K07806	rxn07474
K20769	rxn25851
K18445	rxn00133
K18447	rxn01936
K18447	rxn28163	
K18447	rxn33331	
K18453	rxn28560
K18453	rxn33436	
K19785	rxn35310
K19785	rxn35311	
K19786	rxn30408
K19787	rxn01546
K19794	rxn06105
K06441	rxn35454
K06444	rxn24578	
K06444	rxn26503	
K06444	rxn28388
K06443	rxn07646	
K06443	rxn24576	
K06443	rxn26505	
K06443	rxn28803	
K06443	rxn31246
K20772	rxn37999
K06446	rxn04752
K06445	rxn31412	
K06445	rxn31439	
K06445	rxn31441	
K06445	rxn31451	
K06445	rxn35691	
K06445	rxn35692	
K06445	rxn35693
K07779	rxn06114
K06447	rxn32844
K18424	rxn35437
K18426	rxn00672
K17105	rxn03114
K17104	rxn11998
K17103	rxn06044
K17100	rxn19714
K18436	rxn35432
K18437	rxn35432
K17108	rxn15218
K18438	rxn35432	
K18438	rxn35440
K07748	rxn37520
K19742	rxn00928	
K19742	rxn00930
K19743	rxn00928	
K19743	rxn00930	
K19743	rxn01578	
K19743	rxn01579
K19745	rxn35427
K07732	rxn14039
K19710	rxn35428
K19710	rxn35431	
K19712	rxn03537
K19726	rxn01303
K19726	rxn27109	
K07758	rxn00123	
K07758	rxn01808	
K07758	rxn33691
K07751	rxn31689	
K07751	rxn32991
K07750	rxn31522
K07753	rxn25652
K20712	rxn04795	
K20712	rxn16144
K07757	rxn05897
K07756	rxn17669
K17195	rxn15899
K18494	rxn06515	
K18494	rxn06804	
K18494	rxn27929	
K18494	rxn31454
K19795	rxn07445
K19796	rxn01223
K19797	rxn00108
K18472	rxn20619	
K18472	rxn34705
K18472	rxn38011	
K18474	rxn07455
K18482	rxn19071
K20795	rxn06515	
K20795	rxn06804	
K20795	rxn31454
K20796	rxn06515	
K20796	rxn06804	
K20796	rxn31454
K18604	rxn20619	
K18604	rxn38011
K18605	rxn20619	
K18605	rxn38011
K18606	rxn00997	
K18606	rxn02419
K18606	rxn30328	
K18607	rxn01252
K18608	rxn01253
K18609	rxn01248
K18602	rxn16149
K18603	rxn20619	
K18603	rxn38011
K06617	rxn33683
K06611	rxn37930
K20935	rxn07198
K20933	rxn16640
K20934	rxn16640
K18610	rxn02145
K18611	rxn11565
K18612	rxn03118
K18613	rxn02477
K18614	rxn01205
K06606	rxn16799
K20932	rxn16640
K05305	rxn02262
K05306	rxn00537
K07967	rxn15048
K05307	rxn32616
K05308	rxn01121
K05308	rxn02173	
K05309	rxn33377
K05301	rxn00378
K07966	rxn15048
K05304	rxn03064
K20884	rxn32424	
K20884	rxn38689
K20881	rxn02400	
K20881	rxn29952	
K20881	rxn29955	
K20881	rxn29956
K20881	rxn30860	
K20881	rxn30907	
K20881	rxn30908	
K20881	rxn31059	
K20881	rxn31973	
K20881	rxn32378	
K20881	rxn32982	
K20881	rxn33474	
K20881	rxn33762	
K18575	rxn06232	
K18575	rxn06374
K20896	rxn16839
K17217	rxn00949	
K17217	rxn01735
K17217	rxn33352	
K17217	rxn33507	
K17211	rxn14051	
K17211	rxn14065	
K17211	rxn14284
K17211	rxn14400	
K18541	rxn04033
K17219	rxn06407
K18550	rxn02400
K18550	rxn30860	
K18550	rxn30907	
K18551	rxn02400
K18551	rxn30860	
K17220	rxn06407
K20861	rxn31834	
K20861	rxn38689
K20862	rxn31834	
K20862	rxn38689
K20860	rxn31834	
K20860	rxn38689
K20866	rxn15095
K17221	rxn06407
K19884	rxn16404
K19885	rxn16410
K19886	rxn16411
K18556	rxn27866
K19887	rxn16411
K18557	rxn27866
K19888	rxn16412
K18558	rxn27866
K19889	rxn16413
K17229	rxn16341
K18559	rxn27866
K19890	rxn04956
K18560	rxn27866
K19891	rxn05807
K19892	rxn05807
K19893	rxn05807
K17230	rxn16341
K19858	rxn14112
K19859	rxn15868
K19853	rxn03806
K19854	rxn04285
K19855	rxn04299
K20844	rxn15247
K18532	rxn27685
K18532	rxn32473	
K18533	rxn02517
K18533	rxn14393	
K18533	rxn27685	
K18533	rxn31847	
K18533	rxn32308	
K18533	rxn32473	
K18533	rxn32898	
K18533	rxn32981	
K18533	rxn33024	
K18533	rxn33340	
K18533	rxn33383	
K18533	rxn33550	
K18533	rxn33573	
K18534	rxn23797
K19836	rxn32386
K19836	rxn32969	
K19836	rxn33365	
K19837	rxn03849
K19834	rxn16528
K19835	rxn16560
K20838	rxn06626
K05295	rxn01582	
K05295	rxn01584	
K05295	rxn02384	
K05295	rxn14177	
K05295	rxn14179
K05296	rxn02446	
K05296	rxn02447	
K05296	rxn16803	
K05296	rxn16804	
K05296	rxn31878	
K05296	rxn33213
K05296	rxn36714	
K05296	rxn36715	
K05286	rxn31482
K05287	rxn34322
K05288	rxn34322
K05280	rxn04393	
K05280	rxn07792	
K05280	rxn07822	
K05280	rxn27859	
K05280	rxn31368
K05280	rxn31370	
K05281	rxn04418
K05281	rxn07561	
K05281	rxn07565	
K05281	rxn38372	
K05282	rxn02697	
K05282	rxn02698	
K05282	rxn03453	
K05282	rxn04195
K05282	rxn04196	
K05282	rxn04199	
K05283	rxn34311
K05284	rxn31481
K05275	rxn38275
K05277	rxn03989	
K05277	rxn04395	
K05277	rxn31448	
K05277	rxn31465	
K05277	rxn31466
K05278	rxn02241	
K05278	rxn04394	
K05278	rxn07871	
K05278	rxn28308
K05279	rxn01556
K05279	rxn03410	
K18589	rxn01601	
K18589	rxn01602	
K18589	rxn12649	
K18589	rxn14120	
K18589	rxn30104	
K18589	rxn32434
K18590	rxn01601	
K18590	rxn01602	
K18590	rxn12649	
K18590	rxn14120	
K18590	rxn30104	
K18590	rxn32434
K18591	rxn01601	
K18591	rxn01602	
K18591	rxn12649	
K18591	rxn14120	
K18591	rxn30104	
K18591	rxn32434
K18592	rxn02727	
K18592	rxn02791	
K18592	rxn05952	
K18592	rxn06025	
K18592	rxn11997	
K18592	rxn31443	
K18592	rxn33431
K18594	rxn02260
K05297	rxn06071
K05298	rxn37888
K05299	rxn33750
K06726	rxn11775
K06720	rxn04788
K06718	rxn04787
K05370	rxn06982
K04040	rxn28350	
K04040	rxn38543
K05371	rxn06980
K04041	rxn30665	
K04041	rxn31218
K16023	rxn04804
K04042	rxn30020
K04042	rxn30068	
K18693	rxn06138
K18694	rxn06079
K04032	rxn08194
K05363	rxn13996
K05364	rxn06718
K04034	rxn11665
K04034	rxn11666	
K04034	rxn11667	
K05365	rxn06718
K04035	rxn24063	
K04035	rxn24064
K04035	rxn38381	
K17360	rxn11713	
K17360	rxn11716
K17360	rxn16288	
K17360	rxn20503	
K17360	rxn25709	
K17360	rxn33702	
K17360	rxn37686	
K04036	rxn04158
K04037	rxn04160
K05368	rxn00072	
K05368	rxn03974	
K05368	rxn03976
K05368	rxn08521	
K04038	rxn04160
K05369	rxn06981
K04039	rxn04160
K16039	rxn16698
K16038	rxn16697
K16037	rxn16696
K16036	rxn16695
K05360	rxn11967
K05360	rxn34798	
K16035	rxn16694
K16035	rxn16699	
K05361	rxn06330
K16034	rxn16693
K05362	rxn02009
K16033	rxn16692
K17364	rxn02430
K18695	rxn29959	
K18695	rxn33398
K18696	rxn29959	
K18696	rxn33398
K18697	rxn06080
K18698	rxn07099
K18699	rxn07099
K04021	rxn32711
K05352	rxn01113
K16043	rxn16800
K04022	rxn38034
K05353	rxn28108
K05354	rxn04565
K05355	rxn29023
K05355	rxn38340	
K16040	rxn16712
K05356	rxn05028	
K05356	rxn21866
K05356	rxn29021	
K05357	rxn02509	
K05357	rxn06431
K05357	rxn16838	
K05358	rxn01364
K05358	rxn01742	
K05359	rxn19253	
K05359	rxn33346
K16007	rxn15617
K16006	rxn04323	
K16006	rxn04324	
K16006	rxn04325
K16005	rxn04321	
K16005	rxn04322
K16004	rxn04321	
K16004	rxn04322
K16003	rxn15621
K16002	rxn15619	
K16002	rxn15621
K05394	rxn03855
K05394	rxn04777	
K05394	rxn06933	
K16001	rxn15619	
K16001	rxn15621
K16000	rxn15619	
K16000	rxn15621
K18662	rxn02425
K16009	rxn04316
K16008	rxn23243
K16010	rxn04318
K20982	rxn07217
K20981	rxn07217
K16018	rxn04441
K16017	rxn04440
K16016	rxn04439
K16016	rxn04448	
K16015	rxn04447
K16011	rxn32684
K16011	rxn33633	
K18675	rxn16785
K18676	rxn31936
K18677	rxn33837
K16019	rxn04444
K20990	rxn03720
K16021	rxn04446
K16020	rxn04445
K18649	rxn28001	
K18649	rxn28169	
K18649	rxn30698
K18649	rxn30897	
K18649	rxn33628	
K20967	rxn24829
K19980	rxn20263
K20979	rxn12058
K18660	rxn02425
K18661	rxn02425
K07971	rxn03183
K07970	rxn03183
K07970	rxn11613	
K19958	rxn33086
K05350	rxn06403	
K05350	rxn15343	
K05350	rxn15387	
K05350	rxn32425	
K05350	rxn33569	
K05350	rxn33580	
K05350	rxn37973
K04020	rxn34298
K05351	rxn37675
K19956	rxn02313
K05349	rxn06403	
K05349	rxn15343	
K05349	rxn15387	
K05349	rxn32425	
K05349	rxn33569	
K05349	rxn33580	
K05349	rxn37973
K04019	rxn00539
K05341	rxn06050
K05342	rxn15360
K05343	rxn15226	
K05343	rxn31228
K05343	rxn34305	
K20943	rxn03563
K04016	rxn03978
K19960	rxn01597
K19961	rxn03595
K19962	rxn03455
K19964	rxn35444
K19965	rxn03173
K19970	rxn29952	
K19970	rxn29955	
K19970	rxn29956
K19970	rxn30860	
K19970	rxn30907	
K19970	rxn30908	
K19970	rxn31059	
K19970	rxn31973	
K19970	rxn32378	
K19970	rxn32982	
K19970	rxn33474	
K19970	rxn33762	
K17399	rxn35283
K17398	rxn35283
K16066	rxn16149
K04072	rxn04726
K04072	rxn05871	
K04072	rxn14089	
K04072	rxn31891	
K04072	rxn32711	
K04072	rxn34308	
K04072	rxn34627	
K04072	rxn38034	
K04072	rxn38318	
K04073	rxn32711	
K04073	rxn34627
K04075	rxn16439
K05396	rxn32748
K16086	rxn16714
K16085	rxn16706	
K16085	rxn16759
K04068	rxn06768
K16084	rxn16707
K04069	rxn06768
K16083	rxn16702
K16082	rxn16741
K16049	rxn03152
K16048	rxn16660
K16047	rxn16660
K16045	rxn16758
K16044	rxn16801
K04098	rxn02745	
K04098	rxn02852
K16054	rxn05104	
K16054	rxn05107
K04099	rxn02533	
K04099	rxn02983	
K04099	rxn16409
K16051	rxn06053
K16050	rxn16721
K04091	rxn07204
K04092	rxn33299
K04093	rxn33299
K04097	rxn04809	
K04097	rxn04810	
K04097	rxn04811	
K04097	rxn04830	
K04097	rxn04831	
K04097	rxn04832	
K04097	rxn04833	
K04097	rxn04872	
K04097	rxn04873	
K04097	rxn04886	
K04097	rxn04894	
K04097	rxn04895	
K04097	rxn04896	
K04097	rxn04903	
K04097	rxn07181	
K04097	rxn11808	
K04097	rxn15652	
K04097	rxn16246	
K04097	rxn31674
K04097	rxn31883	
K04097	rxn32152	
K04097	rxn33479	
K16055	rxn35505	
K16055	rxn38812
K05525	rxn16760	
K05525	rxn16761	
K05525	rxn16762
K05526	rxn32708
K06859	rxn33486	
K06859	rxn34220	
K06859	rxn38399
K05523	rxn08659
K18857	rxn05871
K18857	rxn38034	
K18857	rxn38318	
K18858	rxn16473
K18859	rxn30643
K18851	rxn06145
K18852	rxn02754
K18854	rxn01186
K18824	rxn30369
K18824	rxn30380	
K18825	rxn30369
K18825	rxn30380	
K18826	rxn06515	
K18826	rxn06804	
K18826	rxn31454
K06879	rxn07436
K05549	rxn03602	
K05549	rxn03603	
K05549	rxn03728	
K05549	rxn03897	
K05549	rxn03898	
K05549	rxn03936
K05549	rxn07889	
K05549	rxn07890	
K05549	rxn07896	
K05549	rxn07897	
K05549	rxn07898	
K05546	rxn34315
K05546	rxn34316	
K18836	rxn04479
K06868	rxn14388
K06863	rxn04784
K18804	rxn06515	
K18804	rxn06804	
K18804	rxn31454
K18800	rxn03394	
K18800	rxn32466
K18818	rxn16509
K18819	rxn33199
K16149	rxn31229
K16148	rxn31314
K16147	rxn16840
K16146	rxn16792
K16153	rxn05800	
K16153	rxn31426
K16150	rxn05800
K16159	rxn00843
K16158	rxn00843
K17489	rxn00258
K16157	rxn00843
K16164	rxn00801
K16163	rxn02728
K16162	rxn00843
K16161	rxn00843
K16160	rxn00843
K17490	rxn00258
K18783	rxn16783
K17463	rxn03884
K18766	rxn07099
K18767	rxn07099
K04117	rxn06944
K04118	rxn03622
K04119	rxn11966	
K04119	rxn14124	
K04119	rxn14176	
K04119	rxn14375	
K04119	rxn31878	
K04119	rxn33213
K04110	rxn01035
K04112	rxn31432
K04113	rxn31432
K04114	rxn31432
K04115	rxn31432
K04116	rxn03896
K04107	rxn11651
K04108	rxn11651
K04109	rxn11651
K17451	rxn06515	
K17451	rxn06804	
K17451	rxn27929	
K17451	rxn31454
K17450	rxn02466
K04100	rxn01193	
K04100	rxn02533	
K04100	rxn02983	
K04100	rxn16409
K04101	rxn01193	
K04101	rxn02533	
K04101	rxn02983	
K04101	rxn16409
K04102	rxn01196
K04102	rxn03676	
K04103	rxn18925
K04105	rxn00964	
K04105	rxn01035
K04128	rxn03545
K04120	rxn18989
K04121	rxn18956
K04122	rxn17097	
K04122	rxn24060
K04122	rxn30904	
K04123	rxn04168	
K04123	rxn04169
K04123	rxn04170	
K04123	rxn31000	
K04124	rxn31505
K04125	rxn02157	
K04125	rxn31440
K04125	rxn31506	
K04125	rxn31507	
K04126	rxn03327
K04127	rxn02896
K16190	rxn32311
K17497	rxn32754
K16165	rxn00801
K16173	rxn06938
K16171	rxn38106
K16179	rxn16845
K16178	rxn16845
K16177	rxn16844
K16176	rxn16844
K06912	rxn03786
K06912	rxn06912	
K16304	rxn03561
K16303	rxn03561
K16306	rxn15748	
K16306	rxn31335	
K16306	rxn38097
K16306	rxn38459	
K16305	rxn31335	
K16305	rxn38097
K16305	rxn38459	
K18966	rxn00346
K18966	rxn01784	
K06970	rxn07212
K18978	rxn00779
K16319	rxn00594	
K16319	rxn00595
K18974	rxn30369
K18974	rxn30380	
K17649	rxn02232
K06966	rxn15018	
K06966	rxn15049
K03005	rxn05846	
K03005	rxn05847
K03005	rxn05848	
K03005	rxn38266	
K03004	rxn05846	
K03004	rxn05847
K03004	rxn05848	
K03004	rxn38266	
K03003	rxn05846	
K03003	rxn05847
K03003	rxn05848	
K03003	rxn38266	
K04339	rxn02426
K03002	rxn05846	
K03002	rxn05847
K03002	rxn05848	
K03002	rxn38266	
K03001	rxn05846	
K03001	rxn05847
K03001	rxn05848	
K03001	rxn38266	
K03000	rxn05846	
K03000	rxn05847
K03000	rxn05848	
K03000	rxn38266	
K03009	rxn05846	
K03009	rxn05847
K03009	rxn05848	
K03009	rxn38266	
K03008	rxn05846	
K03008	rxn05847
K03008	rxn05848	
K03008	rxn38266	
K03007	rxn05846	
K03007	rxn05847
K03007	rxn05848	
K03007	rxn38266	
K03006	rxn05846	
K03006	rxn05847
K03006	rxn05848	
K03006	rxn38266	
K17626	rxn07152
K06989	rxn05117	
K06989	rxn05119
K06982	rxn16217
K05602	rxn30698
K05603	rxn01640
K05604	rxn00865	
K05604	rxn01464
K05604	rxn02353	
K05605	rxn03433	
K05605	rxn28325
K05606	rxn01996
K05606	rxn16825	
K05607	rxn32471
K05600	rxn00594	
K05600	rxn00595
K05601	rxn27936
K18933	rxn00346	
K18933	rxn31401
K06927	rxn06425
K06928	rxn31790
K06928	rxn38233	
K06920	rxn16824
K18911	rxn14097
K06949	rxn31790
K06949	rxn33098	
K16269	rxn00583	
K16269	rxn02860	
K16269	rxn03655	
K16269	rxn04647	
K16269	rxn04672	
K16269	rxn07517
K16269	rxn31701	
K16268	rxn02526	
K16268	rxn02539	
K16268	rxn03729	
K16268	rxn04646	
K16268	rxn04671	
K16268	rxn16013	
K16268	rxn16014
K16266	rxn31749
K04283	rxn02705	
K04283	rxn12046
K04283	rxn12047	
K16270	rxn02861
K05597	rxn01153	
K05597	rxn30618	
K05597	rxn30680
K05599	rxn00594	
K05599	rxn00595
K16249	rxn02540	
K16249	rxn02577
K16246	rxn02540	
K16246	rxn02577
K16245	rxn02540	
K16245	rxn02577
K16244	rxn02540	
K16244	rxn02577
K16243	rxn02540	
K16243	rxn02577
K16242	rxn02540	
K16242	rxn02577
K16239	rxn00921
K05550	rxn03602	
K05550	rxn03603	
K05550	rxn03728	
K05550	rxn03897	
K05550	rxn03898	
K05550	rxn03936
K05550	rxn07889	
K05550	rxn07890	
K05550	rxn07896	
K05550	rxn07897	
K05550	rxn07898	
K05551	rxn07125	
K05551	rxn07127	
K05551	rxn07131
K05551	rxn07133	
K05551	rxn07134	
K05551	rxn07135	
K05551	rxn16118	
K05551	rxn16119	
K06881	rxn32810	
K06881	rxn33222
K05552	rxn07125	
K05552	rxn07127	
K05552	rxn07131
K05552	rxn07133	
K05552	rxn07134	
K05552	rxn07135	
K05552	rxn16118	
K05552	rxn16119	
K05553	rxn07125	
K05553	rxn07127	
K05553	rxn07131
K05553	rxn07133	
K05553	rxn07134	
K05553	rxn07135	
K05553	rxn16118	
K05553	rxn16119	
K05554	rxn16125
K05555	rxn16154
K05556	rxn16155
K05556	rxn16156	
K05556	rxn16157	
K16205	rxn16754
K16204	rxn16750
K16204	rxn16752	
K18860	rxn30643
K18861	rxn16139
K16207	rxn16751
K16206	rxn16755
K16213	rxn15206
K16212	rxn16788
K18880	rxn03254
K18881	rxn08659
K05709	rxn04597
K05709	rxn04598	
K05708	rxn04597
K05708	rxn04598	
K16425	rxn04474
K16424	rxn04474
K17755	rxn00752	
K17755	rxn11743	
K17755	rxn11744
K16423	rxn04475	
K16423	rxn04483
K17754	rxn01597
K16422	rxn04482
K17753	rxn30141
K17753	rxn30153	
K17753	rxn30207	
K17753	rxn30393	
K16421	rxn11674
K16427	rxn04473
K16426	rxn04474
K03103	rxn17854	
K03103	rxn21401
K16436	rxn04288	
K16436	rxn04480	
K16436	rxn15869
K16435	rxn04290	
K16435	rxn06929
K17761	rxn31894
K16439	rxn04478
K16438	rxn04295
K16438	rxn04477	
K16437	rxn04476
K17739	rxn02079
K17738	rxn15657
K05783	rxn00584	
K05783	rxn03604	
K05783	rxn03605	
K05783	rxn03620	
K05783	rxn03625	
K05783	rxn07899	
K05783	rxn07900
K05783	rxn07901	
K05784	rxn03602	
K05784	rxn03603	
K05784	rxn03728	
K05784	rxn03897	
K05784	rxn03898	
K05784	rxn03936
K05784	rxn07889	
K05784	rxn07890	
K05784	rxn07896	
K05784	rxn07897	
K05784	rxn07898	
K17745	rxn16835
K17745	rxn16836	
K17744	rxn07490
K17743	rxn15190	
K17743	rxn16321
K17742	rxn05085
K17741	rxn01618
K03119	rxn03630
K05774	rxn04651
K17712	rxn11795	
K17712	rxn11798
K17712	rxn11870	
K17712	rxn11871	
K17712	rxn11872	
K17712	rxn11992	
K17712	rxn16258	
K17719	rxn04854	
K17719	rxn04856	
K17719	rxn04857
K17719	rxn04861	
K17719	rxn04862	
K17719	rxn04882	
K17719	rxn04883	
K17719	rxn04884	
K17719	rxn04890	
K17719	rxn11795	
K17719	rxn11813	
K17719	rxn11851	
K17719	rxn11852	
K17719	rxn11853	
K17719	rxn11900	
K17719	rxn11902	
K17719	rxn15653	
K17719	rxn34323	
K17718	rxn04848	
K17718	rxn04849	
K17718	rxn04854	
K17718	rxn04856	
K17718	rxn04861
K17718	rxn04862	
K17718	rxn11840	
K17718	rxn11900	
K17718	rxn11902	
K17717	rxn05963
K17717	rxn06086	
K17717	rxn33140	
K17716	rxn38829
K17723	rxn00719	
K17723	rxn01027
K17722	rxn00719	
K17722	rxn01027
K17721	rxn04852	
K17721	rxn04861	
K17721	rxn04862	
K17721	rxn11813
K17721	rxn11870	
K17721	rxn34323	
K17720	rxn11900
K17720	rxn11902	
K17728	rxn04852
K17726	rxn02726	
K17726	rxn04847
K17725	rxn14050
K17724	rxn01605
K05712	rxn04601	
K05712	rxn04602
K05713	rxn03038
K05713	rxn04603	
K05714	rxn01895
K05714	rxn04604	
K05715	rxn01926
K05716	rxn02362
K05710	rxn04597
K05710	rxn04598	
K05711	rxn04599	
K05711	rxn04600
K17709	rxn04807	
K17709	rxn04854	
K17709	rxn04856	
K17709	rxn04857
K17709	rxn04858	
K17709	rxn11813	
K17709	rxn11814	
K17709	rxn11815	
K17709	rxn11841	
K17709	rxn11851	
K17709	rxn11852	
K17709	rxn11853	
K17709	rxn11900	
K17709	rxn11901	
K17709	rxn11902	
K17709	rxn16278	
K17709	rxn34323	
K15058	rxn03705
K15059	rxn03705
K15056	rxn07544
K15057	rxn31962	
K15057	rxn32220
K15054	rxn06609	
K15054	rxn07479
K15055	rxn07541
K15063	rxn16138
K15064	rxn16130
K15061	rxn16136
K15062	rxn16137
K15060	rxn16135
K15067	rxn02743
K15065	rxn16132
K15066	rxn16131
K03060	rxn05846	
K03060	rxn05847
K03060	rxn05848	
K03060	rxn38266	
K03059	rxn05846	
K03059	rxn05847
K03059	rxn05848	
K03059	rxn38266	
K03058	rxn05846	
K03058	rxn05847
K03058	rxn05848	
K03058	rxn38266	
K03056	rxn05846	
K03056	rxn05847
K03056	rxn05848	
K03056	rxn38266	
K03055	rxn05846	
K03055	rxn05847
K03055	rxn05848	
K03055	rxn38266	
K03054	rxn05846	
K03054	rxn05847
K03054	rxn05848	
