ko	rxn	ModelSeed_ID
K01028	R01358	rxn00989
K01028	R01359	rxn00990
K01029	R00410	rxn00290
K01029	R01357	rxn00988
K01029	R01358	rxn00989
K01029	R01359	rxn00990
K01734	R01016	rxn00748
K00048	R02257	rxn01615
K00005	R10717	rxn40452
K18471	R02528	rxn01832
K18471	R10718	rxn26144
K08325	R02528	rxn01832
K08325	R10718	rxn26144
K01699	R02376	rxn01709
K13919	R02376	rxn01709
K13920	R02376	rxn01709
K00086	R02377	rxn01710
K13921	R02377	rxn01710
K00166	R10997	
K00167	R10997	
K11381	R10997	
K00166	R10996	
K00167	R10996	
K11381	R10996	
K00169	R01199	rxn14178
K00169	R06987	rxn04794
K00170	R01199	rxn14178
K00170	R06987	rxn04794
K00171	R01199	rxn14178
K00171	R06987	rxn04794
K00172	R01199	rxn14178
K00172	R06987	rxn04794
K00189	R01199	rxn14178
K00189	R06987	rxn04794
K00656	R01199	rxn14178
K00656	R06987	rxn04794
K20455	R11263	
K09788	R11264	
K01659	R00931	rxn00679
K01720	R04424	rxn03060
K01682	R04425	rxn03061
K03417	R00409	rxn00289
K18123	R00470	rxn00328
K01625	R00470	rxn00328
K08691	R00934	rxn00682
K19281	R00934	rxn00682
K17865	R03027	rxn02168
K14449	R05076	rxn03440
K19280	R10904	
K19280	R03695	rxn02624
K00023	R01977	rxn01453
K05606	R09979	rxn16825
K14447	R09292	rxn16151
K14448	R09293	rxn16152
K03779	R00339	rxn00245
K03780	R00339	rxn00245
K07246	R06180	rxn04143
K08692	R01256	rxn00934
K08692	R10612	rxn40362
K14067	R01256	rxn00934
K14067	R10612	rxn40362
K14451	R01256	rxn00934
K14451	R10612	rxn40362
K19282	R01256	rxn00934
K19282	R10612	rxn40362
K00048	R01781	rxn01305
K07248	R01333	rxn00979
K01895	R00316	rxn00226
K01913	R00316	rxn00226
K00156	R03145	rxn02253
K07248	R00203	rxn00149
K07248	R00205	rxn00150
K03778	R00197	rxn00146
K03778	R00198	rxn15020
K03778	R00297	rxn05804
K03778	R00704	rxn00500
K03778	R11591	
K03778	R11593	
K03778	R13049	
K03777	R00197	rxn00146
K03777	R00198	rxn15020
K03777	R00297	rxn05804
K03777	R00704	rxn00500
K03777	R11591	
K03777	R11593	
K03777	R13049	
K21836	R00197	rxn00146
K21836	R00198	rxn15020
K21836	R00297	rxn05804
K21836	R00704	rxn00500
K21836	R11591	
K21836	R11593	
K21836	R13049	
K00102	R00197	rxn00146
K00102	R00198	rxn15020
K00102	R00297	rxn05804
K00102	R00704	rxn00500
K00102	R11591	
K00102	R11593	
K00102	R13049	
K26113	R00197	rxn00146
K26113	R00198	rxn15020
K26113	R00297	rxn05804
K26113	R00704	rxn00500
K26113	R11591	
K26113	R11593	
K26113	R13049	
K26114	R00197	rxn00146
K26114	R00198	rxn15020
K26114	R00297	rxn05804
K26114	R00704	rxn00500
K26114	R11591	
K26114	R11593	
K26114	R13049	
K26115	R00197	rxn00146
K26115	R00198	rxn15020
K26115	R00297	rxn05804
K26115	R00704	rxn00500
K26115	R11591	
K26115	R11593	
K26115	R13049	
K18930	R00197	rxn00146
K18930	R00198	rxn15020
K18930	R00297	rxn05804
K18930	R00704	rxn00500
K18930	R11591	
K18930	R11593	
K18930	R13049	
K21618	R00197	rxn00146
K21618	R00198	rxn15020
K21618	R00297	rxn05804
K21618	R00704	rxn00500
K21618	R11591	
K21618	R11593	
K21618	R13049	
K05523	R09796	rxn08659
K18881	R09796	rxn08659
K22211	R09796	rxn08659
K00049	R02527	rxn01831
K12972	R02527	rxn01831
K00090	R02527	rxn01831
K01759	R02530	rxn01834
K01069	R01736	rxn01274
K22373	R01450	rxn01057
K17741	R02260	rxn01618
K17741	R10715	rxn15341
K23257	R02260	rxn01618
K23257	R10715	rxn15341
K00005	R02260	rxn01618
K00005	R10715	rxn15341
K07248	R01446	rxn01053
K19266	R01446	rxn01053
K12660	R02261	rxn01619
K18339	R02261	rxn01619
K22212	R11074	
K18336	R10691	rxn22386
K00467	R00319	rxn00229
K01895	R00236	rxn00176
K01913	R00236	rxn00176
K01067	R00227	rxn00170
K01067	R00928	rxn00677
K01067	R10343	rxn25164
K18118	R00227	rxn00170
K18118	R00928	rxn00677
K18118	R10343	rxn25164
K01026	R00227	rxn00170
K01026	R00928	rxn00677
K01026	R10343	rxn25164
K01108	R03330	rxn02388
K22231	R11770	
K22232	R11771	
K22233	R11772	
K06606	R09952	rxn16799
K00010	R09951	rxn16798
K16043	R09953	rxn16800
K16043	R09954	rxn16801
K16044	R09953	rxn16800
K16044	R09954	rxn16801
K22230	R09953	rxn16800
K22230	R09954	rxn16801
K00469	R01184	rxn00880
K06118	R05775	rxn04027
K12449	R01386	rxn01009
K13010	R10460	rxn40254
K17939	R10514	rxn40293
K01709	R02426	rxn01750
K12452	R03391	rxn02432
K12452	R03392	rxn02433
K00523	R03391	rxn02432
K00523	R03392	rxn02433
K12453	R04265	rxn02974
K12454	R04266	rxn02975
K12455	R08711	rxn13999
K19632	R08711	rxn13999
K15857	R08708	rxn14203
K15858	R08709	rxn14262
K15858	R08710	rxn14378
K01854	R00505	rxn00358
K13648	R05191	
K18677	R01980	rxn01455
K12450	R00293	rxn00215
K12451	R08704	rxn14370
K12451	R08705	rxn13972
K01209	R01762	rxn06036
K15921	R01762	rxn06036
K20844	R01762	rxn06036
K02474	R06894	rxn04703
K22925	R08706	rxn14342
K02473	R08706	rxn14342
K13015	R00421	rxn00298
K22926	R00421	rxn00298
K02474	R00421	rxn00298
K13016	R10140	rxn40032
K13020	R10140	rxn40032
K13017	R10141	rxn40033
K13018	R10100	rxn40004
K13019	R09600	rxn16442
K02472	R03317	rxn02377
K01791	R00420	rxn00297
K00698	R02335	rxn06153
K07102	R08968	rxn13990
K22292	R11785	
K01787	R01207	rxn00897
K01788	R02087	rxn01506
K13967	R02087	rxn01506
K18675	R09942	rxn16784
K01188	R03527	rxn06403
K05349	R03527	rxn06403
K05350	R03527	rxn06403
K00706	R03118	rxn05800
K01199	R00308	rxn05807
K19891	R00308	rxn05807
K19892	R00308	rxn05807
K19893	R00308	rxn05807
K01210	R00308	rxn05807
K00690	R00803	
K05341	R02120	
K05341	R01823	rxn06050
K00689	R02120	
K00689	R01823	rxn06050
K11809	R00949	rxn00696
K11809	R01660	rxn01215
K01232	R00837	
K01226	R00837	
K13057	R11306	
K01208	R03122	rxn06316
K00701	R11260	
K10046	R07673	rxn07488
K10046	R07672	rxn07487
K01706	R08056	rxn07845
K18983	R10847	
K01708	R05608	rxn03887
K20023	R05608	rxn03887
K18982	R10846	
K18981	R10841	
K00699	R08615	rxn14144
K00880	R07127	rxn04930
K08092	R02637	rxn01911
K08092	R02639	rxn01912
K00225	R00640	rxn00443
K00225	R00643	rxn00445
K23003	R12156	
K23004	R12155	
